record_id,Dataset,Source,Service,Respondent_Group,Scenario,Sentiment,Sentiment Score,Location,Latitude,Longitude,X,Y,Coordinate_Method,Trip_Time_Minutes,Time_of_Day,Trip_Purpose,Alternative_Mode,Choice_Factors,Barrier_to_Riding,Encouragement,Late_Night_Travel_Change,Views_Changed,Max_WTP,Zero_Emission_Importance,Accessibility_Importance,Distribution_Importance,Transit_Connectivity_Importance,Zero_Emission_Score,Accessibility_Score,Distribution_Score,Transit_Connectivity_Score,Shared_Ride_View,Attraction_to_Project,Text_Summary,Privacy_Notes,Birth Year,Age in 2022,Age Band (2022),Sex,Ethnicity,Degree Program,Years at USF,Home ZIP Code,Lives on Campus,Household / Roommates,Primary Daily Travel Mode
RR-0001,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Safety/Trust,Positive,0.6,Dropoff area,37.779922,-122.463078,-122.463078,37.779922,Final dropoff coordinate from anonymized Dropoff Location field,14.0,12:30 - 1:29 am,Social/recreation,"Yes, Public Transit (Bus, Train, etc.)","Safer alternative,More comfortable     ,Free ride",,,Yes,Yes,$3-4,Somewhat important,Very important,Very important,Somewhat important,3.0,4.0,4.0,3.0,"Not cost effective, a 6 minute drive that should only be 3, due to use of unexcusable routing.",,"respondent_group=Rider; purpose=Social/recreation; alternative=Yes, Public Transit (Bus, Train, etc.); choice_factors=Safer alternative,More comfortable     ,Free ride; barriers=; encouragement=; late_night_change=Yes; views_changed=Yes",Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,,,,
RR-0003,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Comfort,Positive,0.6,Dropoff area,37.780567,-122.463143,-122.463143,37.780567,Final dropoff coordinate from anonymized Dropoff Location field,10.0,10:30 - 11:29 pm,Social/recreation,"Yes, Public Transit (Bus, Train, etc.)","More mobile app integration (other services / transit apps),Fastest way to get there,More comfortable",,,Yes,Yes,$6-7,Somewhat important,Very important,Very important,Very important,3.0,4.0,4.0,4.0,If I know the other passenger then that sounds like a lovely idea. If it was like ride-sharing with strangers I would be a bit more on edge.,,"respondent_group=Rider; purpose=Social/recreation; alternative=Yes, Public Transit (Bus, Train, etc.); choice_factors=More mobile app integration (other services / transit apps),Fastest way to get there,More comfortable; barriers=; encouragement=; late_night_change=Yes; views_changed=Yes",Derived public-safe record; raw open-ended responses omitted.,2002,20,18–24,Male,Black or African American,BS/BA,2,94118,Yes,3,Drive or Ride with Others (Carpool / Vanpool)
RR-0004,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Rider Experience,Positive,0.25,Dropoff area,37.779871,-122.431717,-122.431717,37.779871,Final dropoff coordinate from anonymized Dropoff Location field,7.0,11:30 - 12:29 am,Social/recreation,"Yes, Walk","More sustainable alternative,Novel technology,Fun",,,No,Yes,$4-5,Very important,Very important,Very important,Somewhat important,4.0,4.0,4.0,3.0,Probably wouldn’t want to share unless I know them,,"respondent_group=Rider; purpose=Social/recreation; alternative=Yes, Walk; choice_factors=More sustainable alternative,Novel technology,Fun; barriers=; encouragement=; late_night_change=No; views_changed=Yes",Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,94117,No,0,Micromobility (scooters / bikeshare)
RR-0005,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Rider Experience,Positive,0.25,Dropoff area,37.774546,-122.448573,-122.448573,37.774546,Final dropoff coordinate from anonymized Dropoff Location field,14.0,10:30 - 11:29 pm,Social/recreation,"No, I would not have made this trip otherwise.","Don’t need to park,Free ride,Novel technology",,,No,Yes,$10 or more,Very important,Not at all important,Very important,Somewhat important,4.0,,4.0,3.0,,,"respondent_group=Rider; purpose=Social/recreation; alternative=No, I would not have made this trip otherwise.; choice_factors=Don’t need to park,Free ride,Novel technology; barriers=; encouragement=; late_night_change=No; views_changed=Yes",Derived public-safe record; raw open-ended responses omitted.,1998,24,18–24,Male,White,BS/BA,3,94117,No,2,"Rideshare (e.g. Uber, Lyft, etc.)"
RR-0006,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Rider Experience,Neutral,0.0,Dropoff area,37.774597,-122.448423,-122.448423,37.774597,Final dropoff coordinate from anonymized Dropoff Location field,7.0,10:30 - 11:29 pm,Social/recreation,"Yes, Rideshare (e.g. Uber, Lyft, etc.)","Cost (cheaper than alternatives) ,Free ride,Fun",,,No,No,$10 or more,Somewhat important,Not at all important,Very important,Somewhat important,3.0,,4.0,3.0,,,"respondent_group=Rider; purpose=Social/recreation; alternative=Yes, Rideshare (e.g. Uber, Lyft, etc.); choice_factors=Cost (cheaper than alternatives) ,Free ride,Fun; barriers=; encouragement=; late_night_change=No; views_changed=No",Derived public-safe record; raw open-ended responses omitted.,1998,24,18–24,Male,White,BS/BA,3,94117,No,2,"Rideshare (e.g. Uber, Lyft, etc.)"
RR-0007,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Rider Experience,Positive,0.25,Dropoff area,37.776598,-122.421751,-122.421751,37.776598,Final dropoff coordinate from anonymized Dropoff Location field,24.0,11:30 - 12:29 am,Social/recreation,"Yes, Rideshare (e.g. Uber, Lyft, etc.)","Free ride,Novel technology,Fun",,,No,Yes,$10 or more,Somewhat important,Not at all important,Very important,Somewhat important,3.0,,4.0,3.0,"Open for it, as long as i don't loos too much time on it.",,"respondent_group=Rider; purpose=Social/recreation; alternative=Yes, Rideshare (e.g. Uber, Lyft, etc.); choice_factors=Free ride,Novel technology,Fun; barriers=; encouragement=; late_night_change=No; views_changed=Yes",Derived public-safe record; raw open-ended responses omitted.,1998,24,18–24,Male,White,BS/BA,3,94117,No,2,"Rideshare (e.g. Uber, Lyft, etc.)"
RR-0008,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Rider Experience,Positive,0.2,Dropoff area,38.71519,-123.454453,-123.454453,38.71519,Final dropoff coordinate from anonymized Dropoff Location field,35.0,4:30 - 5:29 pm,Work,"Yes, Drive or Ride with Others (Carpool / Vanpool)","More sustainable alternative,Fastest way to get there,Cost (cheaper than alternatives)",,,No,,$3-4,,,,,,,,,,,"respondent_group=Rider; purpose=Work; alternative=Yes, Drive or Ride with Others (Carpool / Vanpool); choice_factors=More sustainable alternative,Fastest way to get there,Cost (cheaper than alternatives); barriers=; encouragement=; late_night_change=No; views_changed=",Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,,,,
RR-0009,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Safety/Trust,Positive,0.35,Dropoff area,37.776826,-122.451164,-122.451164,37.776826,Final dropoff coordinate from anonymized Dropoff Location field,20.0,10:30 - 11:29 pm,Social/recreation,"Yes, Public Transit (Bus, Train, etc.)","Safer alternative,Fastest way to get there,Free ride",,,Yes,No,$1-2,Somewhat important,Somewhat important,Very important,Very important,3.0,3.0,4.0,4.0,I would definitely recommend it to others.,,"respondent_group=Rider; purpose=Social/recreation; alternative=Yes, Public Transit (Bus, Train, etc.); choice_factors=Safer alternative,Fastest way to get there,Free ride; barriers=; encouragement=; late_night_change=Yes; views_changed=No",Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Male,Asian,BS/BA,3,94118,Yes,1,"Public Transit (Bus, Train, etc.)"
RR-0010,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Rider,Rider Experience,Positive,0.4,Dropoff area,37.772493,-122.404576,-122.404576,37.772493,Final dropoff coordinate from anonymized Dropoff Location field,10.0,10:30 - 11:29 pm,Other (please specify),"No, I would not have made this trip otherwise.","Free ride,Novel technology,Fun",,,Yes,Yes,$5-6,Very important,Very important,Very important,Very important,4.0,4.0,4.0,4.0,"I would agree with that. I think it's very important for cities that less cars are in occupying the road and transport is as efficient as possible (if that would also mean reducing the cost of that trip why not?). But making sure that you don't lose a lot of time waiting for the other passanger. 
I would maybe be a little bit worried about sharing the same seats. Could it be possible to divide the car in two rows/seperated but still being able to talk with each other. E.g. first raw 1 to 3 people that know each other, separated with a plastic protection (such as now in cruise cars) and then other row with other people picked up on the way.",,"respondent_group=Rider; purpose=Other (please specify); alternative=No, I would not have made this trip otherwise.; choice_factors=Free ride,Novel technology,Fun; barriers=; encouragement=; late_night_change=Yes; views_changed=Yes",Derived public-safe record; raw open-ended responses omitted.,1994,28,25–34,Female,White,Masters,1,94103,No,6 or more,Drive or Ride with Others (Carpool / Vanpool)
