record_id,Service,Scenario,Location,Sentiment,Sentiment Score,Latitude,Longitude,X,Y,Data_Type,Coordinate_Method
SIM-0001,Waymo,Fainting,Tenderloin,Neutral,0.0,37.783777440236484,-122.41411018214956,-122.41411018214956,37.783777440236484,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0002,Waymo,Fainting,Embarcadero,Neutral,0.0,37.79509552853403,-122.39336060814207,-122.39336060814207,37.79509552853403,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0003,Uber,Fainting,Tenderloin,Positive,0.3333333333333333,37.783699206965046,-122.4135107175208,-122.4135107175208,37.783699206965046,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0004,Waymo,Fainting,SOMA,Neutral,0.0,37.77888990296339,-122.4066712495877,-122.4066712495877,37.77888990296339,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0005,Uber,Wrong Address,Embarcadero,Neutral,0.0916666666666666,37.79627216060505,-122.39447216060505,-122.39447216060505,37.79627216060505,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0006,Waymo,General,Financial District,Positive,0.215625,37.79398746463753,-122.40001906481312,-122.40001906481312,37.79398746463753,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0007,Uber,Verbal Distress,Embarcadero,Positive,0.2166666666666666,37.795731403539484,-122.39342422400047,-122.39342422400047,37.795731403539484,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0008,Uber,Heart Attack,SOMA,Positive,0.3333333333333333,37.77861126206255,-122.40564495279122,-122.40564495279122,37.77861126206255,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0009,Uber,Fainting,Tenderloin,Positive,0.3333333333333333,37.78425987856696,-122.41391829349098,-122.41391829349098,37.78425987856696,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0010,Waymo,General,Embarcadero,Positive,0.215625,37.79556251334396,-122.39334546920891,-122.39334546920891,37.79556251334396,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0011,Uber,Heart Attack,SOMA,Positive,0.3333333333333333,37.77824402052051,-122.40513820079464,-122.40513820079464,37.77824402052051,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0012,Waymo,General,Tenderloin,Positive,0.215625,37.7841548947542,-122.41421641696688,-122.41421641696688,37.7841548947542,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0013,Waymo,Verbal Distress,Castro,Neutral,0.1,37.76203566195582,-122.43509935754673,-122.43509935754673,37.76203566195582,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0014,Waymo,Claustrophobia,SOMA,Negative,-0.25,37.7788957587675,-122.4056138202007,-122.4056138202007,37.7788957587675,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0015,Uber,Fainting,Castro,Positive,0.3333333333333333,37.7609890582507,-122.43415266734515,-122.43415266734515,37.7609890582507,Simulated,Approximate neighborhood centroid plus deterministic jitter
SIM-0016,Waymo,Fainting,SOMA,Neutral,0.0,37.778730702807024,-122.40566615296541,-122.40566615296541,37.778730702807024,Simulated,Approximate neighborhood centroid plus deterministic jitter
